"","candidate","combo","gender","trimmed","inc","openseat","ss_party"
"296","Anzalone, John","John Anzalone NV",0,"Equal rights for all is an issue that is very personal to me. Having two beautiful daughters has inspired me to fight for women's rights, but also fair and equal treatment of all Americans. If elected, I will:be vocal against racial and religious profiling\n  Protect and stand up for the Right to Life\n  support and defend the Equality Act of 2017 that amends the Civil Rights Act of 1964 to include sex, sexual orientation, and gender identity among the prohibited categories of discrimination or segregation in places of public accommodation\n  stand up against racial profiling by law enforcement\n  Fight for Federal guidelines that protect unarmed victims \n  support bills that fight for equal pay & employment

As a father of three, I believe in the strength of a family. Children are the most precious resource on this planet, and the joy they bring to all of us is priceless. As a man who has adopted two children and has witnessed the heartache of infertility, I appreciate the gift of a child; but deciding how a woman approaches a pregnancy is not my choice to make. If elected, I will:support Roe v Wade, but work for safe access to abortion\n  invest in Stem Cell research\n  protect a woman's right to privacy and equality\n  protect a woman's constitutional right to choose",0,1,2
"297","Spearman, Patricia","Pat Spearman NV",1,"Spearman said she believes in a woman’s right to choose abortion.\n“It is between a woman and her God,” she said. “I mean that is a very private matter. In many cases it is a very painful decision. As a pastor, I have listened to women who have debated and wrestled with whether or not to have an abortion. … Other people have nothing whatsoever to do with it. Nothing. And if you really are about life it has to be about life outside the womb.”

Spearman led the charge to ratify the Equal Rights Amendment in the U.S. Constitution. The proposal passed the Legislature.\n“Here are the things I want to do in Congress. You’ve got to have equality. In every aspect of the human existence,” she said. “That means the ERA, once it is ratified in the states, Congress must vote to extend the deadline. Pay equity. It is not just about a difference in pay for men and women. It is really about economic security, now and in retirement. We have to have equality, period. Because you should not be denied equal rights because of who you are, who you love or where you live. That shouldn’t happen. We are all God’s children.\nWorker Protections\nSpearman was a co-sponsor of a bill that would have required certain employers to offer paid sick leave to their workers. Gov. Sandoval vetoed the measure, and lawmakers did not overturn it.\nShe sponsored a bill that would give businesses a tax credit if they assist their employees with the costs of child care. It was unsuccessful in the Democratic-controlled 2017 Legislature.",0,1,2
"298","Stephens, Allison","Allison Stephens NV",1,NA,0,1,2
"299","Pappas, Chris","Chris Pappas NH",0,"Chris ran for Executive Council after five Republican men voted to defund Planned Parenthood. After his election to the Executive Council in 2012, he led the successful fight to reverse that decision and fund family planning services and cancer screenings for more than 13,000 women and men in New Hampshire.As a member of the New Hampshire House, Chris earned a 100% pro-choice voting record and opposed legislation that would have interfered with a woman’s fundamental right to control her own body. In Congress, Chris will: Oppose attempts to restrict women’s access to reproductive health servicesSupport efforts to prevent businesses from being able to deny women access to contraception coverage in their health plansSupport the repeal of the Global Gag Rule so that organizations can provide family planning services to women around the world",0,1,2
"300","O'Rourke, Terence","Terence O'Rourke NH",0,"As a prosecutor, I have defended the rights of victims of sexual and domestic violence to be heard, to be believed, and to be vindicated. As a congressman, I will defend existing federal legislation, such as the Violence Against Women Act and Title IX, that ensures equal protection and access for all populations. I stand with women, communities of color, and LGBTQA+ and gender nonconforming individuals who've been under attack in the current administration. I support a woman's right to make decisions about her body and a government that doesn't stand in the way of her access to contraceptives and abortion. I support marriage equality, gender equality, and equal pay. I decry discrimination and violence based on sex, gender, and sexual orientation; when it comes to discrimination, there isn't ""blame on both sides."" I will fight for vulnerable populations and promote the cultivation of leaders from underserved communities that more fully reflect America's demographics.",0,1,2
"301","Sanders, Levi","Levi Sanders NH",0,"We need to close the gender pay gap; it is unacceptable that women earn 79 cents on the dollar and the lack of access to affordable child care plays a large part. Mothers should not have to work multiple jobs with unhealthy hours due to the prohibitive cost of childcare; I will fight for affordable childcare options provided under Medicare for All and the Right to Choice. This will include access to affordable family planning services and resources. Screening and contraception must be covered.",0,1,2
"302","McEachern, Deaglan","Deaglan McEachern NH",0,"Reproductive Rights is under attack in America. I will fight to protect the progress we've made and continue to advocate for change that will provide a better future for our children. A woman's body is her own and should never be regulated by the government

Fully fund Planned Parenthood while fighting to lift abortion coverage bans. \n2. Expand and reinvent sex education across the nation.\n3. Mandate that health insurance includes a woman’s right to access birth control.",0,1,2
"303","Sullivan, Maura","Maura Sullivan NH",1,"Women's Rights\nSome of the work I am most proud of is fighting for women and families as a senior appointee in the Obama Administration at the Pentagon and the VA, where I worked on:\n* Women’s fertility options\n* Maternity leave\n* Gender integration in the military\nI have seen how important it is to have a woman’s voice at the table when our national leaders meet to decide the fate of women’s health. I have been proud to be a voice at that table, and I will continue to use my experience to fight for women.\nI believe in a woman’s right to full and complete equality, which includes the right to make our own reproductive choices without government interference. I will always protect a woman’s right to choose and fight back against efforts to cut funding to organizations like Planned Parenthood that provide critical health care to women and men.\nThe Affordable Care Act expanded health care access for women including annual wellness exams and cancer screenings, birth control, and maternity care. It is essential we protect these services as well.\nAs your Congresswoman, I will support efforts to:\n* Fight for Paid Family Leave. I will support legislation for paid family leave because no one should have to choose between keeping a job or caring for a loved one, and we need to do more to support Granite State working families.\n* Close the Pay Gap. Women, particularly women of color, regularly earn less than men in the workplace. Pay equity is not just a women’s issue, it is a working families issue. In New Hampshire, women earn 83 cents for every dollar a man earns. Whenever a woman earns less than a man for doing the same job, it hurts her entire family. The pay gap is slowly closing, but at its current rate, it would take until 2059 for women to finally reach pay equality. We cannot wait that long. That is why I will work tirelessly to close the pay gap and fight for equal pay for equal work including supporting the Paycheck Fairness Act.\n* Improve Access to Women’s Health Care. Every woman, regardless of socioeconomic status or insurance coverage, should have access to a full range of reproductive health care. I will support and sponsor legislation to increase access to affordable contraception and protect women’s reproductive rights. I will also fight all efforts to defund Planned Parenthood.\n* Fight Discrimination in the Workplace. It is time we fight for full equality in the workplace, from closing the pay gap to ending discrimination against primary caregivers and pregnant women.\n* Do More to Prevent Violence Against Women. The Centers for Disease Control and Prevention has designated domestic violence as a public health problem. More than 37 percent of American women, and almost 31 percent of American men, have experienced sexual violence, physical violence, and/or stalking from an intimate partner during their lifetime. I believe we can, and should, do more to prevent violence before it happens. And I promise to fight any efforts to cut funding for the programs and community-based solutions here in New Hampshire that are badly needed to support survivors of sexual assault and domestic violence including closing the boyfriend loophole.",0,1,2
"304","Messmer, Mindi","Mindi Messmer NH",1,NA,0,1,2
"305","Soldati, Lincoln","Lincoln Soldati NH",0,"No matter how we fund healthcare, we need to decide what is – and is not – up for grabs. No more boardrooms of men regulating women’s bodies.\nBirth control is basic health care – your employer, regardless of their religious beliefs, is not your doctor.\nRoe v. Wade must be protected at every turn and we must also push back against any attempts by Republicans to reduce access to safe abortions.",0,1,2
"306","Andrews, Naomi","Naomi Andrews NH",1,"Naomi knows that the protection and improvement of women’s rights require women to be politically engaged.  Women need to seek political office, work on women’s political campaigns, or work in public service to advance women’s equality. As the saying goes, “If you’re not at the table, you’re on the menu.” Naomi is proud of her long record of advocacy for women as Congresswoman Carol Shea-Porter’s Chief of Staff.\nNaomi is a strong advocate of women’s health care and reproductive rights (“pro-choice”). These rights fall under the umbrella of the general right to privacy, along with other medical and end-of-life decisions. All people have the right to make their own decisions about their health care, without government intrusion or interference.\nIn the 111th Congress (2009-2010), Naomi and the office team worked on the Affordable Care Act (ACA) with Congresswoman Shea-Porter.  The ACA’s provisions to protect women’s rights include:\n* The ten Essential Health Benefits that all health plans must cover:  ambulatory services, emergency services, hospitalization, maternity and newborn care, mental health and substance abuse services, prescription drugs, rehabilitative services, laboratory services, preventive and wellness services, and pediatric care\n* Women’s preventive health services with no deductible or cost-sharing—including well-woman visits, mammograms, provision of contraceptives, HIV testing, and cancer screenings  \n* Expanded access to Medicaid, for which 2/3 of beneficiaries are women, and eligibility of Medicaid recipients for 60 days of care after the birth of a baby\n* Elimination of insurance companies’ ability to define pregnancy as a preexisting condition, or to charge women more than men (gender rating of premiums)\n* Blocking efforts to restrict access to family planning services (Title X) and defund Planned Parenthood or to implement broad “conscience” exceptions that would allow health care providers to refuse otherwise legal services.\nNaomi is committed to prioritizing women’s economic security as much as we prioritize our rights to health care. A woman earns only 78 cents for every $1 of a man’s wages. This is unacceptable. Passing legislation that mandates equal pay for equal work is a crucial step to treat women and the families they support fairly.",0,1,2
"307","MacKenzie, Mark","Mark Mackenzie NH",0,"Throughout my career I have always been a strong ally and advocate for women’s rights both in and outside the workplace. The struggle for civil rights and workers rights have long been intertwined, and data has consistently shown that both men and women in unions earn substantially more and have significantly more benefits than those who are non-unionized. While the pay gap between non-unionized women and men is 78 cents to the dollar, working women in unions are paid 94 cents for every dollar paid to unionized men, and hourly wages for women represented by unions are 23% higher than for nonunionized women [Link].\nI was honored to help author and pass the 2014 New Hampshire Paycheck Fairness Act.\nI also support family friendly policies such as implementing a federal family/medical leave policy that would guarantee at least 6 weeks of paid leave for all Americans. No one should have to worry about losing their job or income when they are injured or have a sick family member. Many new mothers are forced to make a heart wrenching decision after giving birth of whether to immediately go back to work, or whether to quit their jobs in order to raise their infant. Many mothers who decide to leave their jobs find it extremely difficult to get back into the workforce, and when they do they find that their pay significantly lags behind their male co-workers who did not take leaves of absence.\nWhile working women and their families certainly benefit from organizing and expanding labor protections, they also need to know that their privacy and freedom of choice will not be infringed. I am a strong supporter of a woman’s right to make her own decisions about her body, and would vehemently oppose any unnecessary or excessive restrictions on access to birth control, abortion, or health services. I would support expanding access to family planning and health services to low income areas, and support federal legislation to enshrine a women’s right to choose into law in order to prevent the recurrence of bills like the recent 15-week abortion ban in Mississippi.",0,1,2
"308","Carlson, Robert","Rob Carlson NJ",0,"A popular meme is sometimes true. In this case, it sums up how I feel about Women’s rights: Feminism is the radical notion that women are people.\nWhy would anyone not be a feminist? To not believe in basic fairness or the inherent equality of sexes is basically to be a jerk. Note that equal does not mean the same. We can be cognizant of differences in physiology and still ensure that everyone, irrespective of gender is given equal respect under the law, in the workplace, in the home and in public space.\nThe mark of a civilized society can be measured by how well it treats its women. The most advanced and enlightened societies are those where women have full equality with men. This means equal pay and equal rank for equal work. It means paid time off for family events (for mothers and fathers). It means putting an end to forced marriages and forced pregnancies. It means believing victims of rape and prosecuting rapists– who represent the worst of humanity– to the fullest extent possible. It means putting rapist-enablers on notice too, and killing rape culture in America.\nIt means a woman’s choice on whether or not to give birth is inviolate.\nSexism is the most socially accepted prejudice of all. It is the backbone of fascism and a violent and cruel society, given cover by primitive religions that don’t stand the test of reason or compassion. I oppose the intrusion of religious fanaticism in our government, in our laws, and in our healthcare system.\nAs a congressman I will push for re-opening the Equal Rights Amendment, and oppose any intrusion into women’s health matters, especially those with a religious excuse.",0,0,1
"309","Van Drew, Jeff","Jeff Van Drew NJ",0,"I’m proud of the work we have done in New Jersey to tackle income inequality by passing laws to ensure equal pay for equal work. Now, I want to champion that policy in Washington and require equal pay for every woman in America! The time is now.",0,1,2
"310","Cunningham, William","Will Cunningham NJ",0,"When women thrive, families and America thrive.  Women’s equality remains unfinished business in the United States.  From equal pay, to family leave, from addressing post-partum depression to sexual assault, I will support women in their ongoing fight for equality and the protections they deserve.\nFirst and foremost, I’ll stand up against any attempts to strip women of their right to make their own health care choices. The decisions any woman makes about her health care and her body is hers – and hers alone. I will fight to protect that right. What’s more, I’ll defend women’s access to the health care services they need, and I’ll stand up against extreme right-wing attacks on Planned Parenthood, which thousands of women in New Jersey solely rely on for comprehensive health services.\n",0,1,2
"311","Kleinman, Nate","Nate Kleinman NJ",0,"EQUALITY FOR WOMEN. NOTHING LESS.\nI've been a proud feminist my whole life. The strongest people I know are women. I also stress that my feminism is intersectional: I recognize that a woman's race, class, religion, ethnicity, gender identity, and sexual orientation all influence the way she experiences oppression or discrimination (and privilege or advantage). The fact that we still need to fight for women's rights is appalling. But it is a fact, so here is my platform:\n* Finally pass the Equal Rights Amendment. It was first introduced almost a century ago (in 1921). It's time.* Equal pay for equal work.?\n* Preserve and expand reproductive rights. I believe 100% in a woman's right to choose.\n* Establish universal healthcare, a universal basic income, universal pre-school, and paid family and medical leave. All of these policies would disproportionately help women.??\n* Make permanent the Violence Against Women Act.\n* Pass federal gun violence restraining order legislation, allowing people under threat to petition a judge to take away a dangerous person's guns. Women who are victims of domestic violence need this legal tool.",0,1,2
"312","Youngblood, Tanzie","Tanzie Youngblood NJ",1,"Every American deserves quality, affordable healthcare, but Republican efforts would strip care from millions of Americans, raise premiums, and reduce accessibility to coverage. When my husband, Willie, battled cancer, I was so grateful that he had access to quality healthcare. In his final months I was able to focus on care for him without worrying about whether we were going have access to the treatment he needed, or how we were going to pay for it. Every family deserves this peace of mind.\nI will work hard to:\n• develop a path to universal, affordable, comprehensive healthcare\n• protect federal funding of Planned Parenthood, the primary source of healthcare for millions of women\n• protect women’s reproductive rights\n• ensure that active-duty service members and veterans get the respect and care they deserve\n",0,1,2
"313","Kim, Andy","Andy Kim NJ",0,NA,0,0,2
"314","Welle, Joshua","Josh Welle NJ",0,"Women’s rights are under threat by this administration and the GOP incumbent Representative Chris Smith. As your Congressman I will work to ensure protections for women.\n* Women in NJ continue to earn 82 cents for every dollar a man earns for equal work, and statistics in other states are even worse. I will support equal pay legislation and policies that works to close the gender gap.\n* I will confront physical and sexual violence against all women and pursue improved training and human resource policies for federal agencies.\n* I will support women’s reproductive health policies and their rights to access to safe and affordable care including contraception, preventive care, to include funding Planned Parenthood.",0,0,2
"315","Keady, Jim","Jim Keady NJ",0,"To the women in our district: I recognize that you are still vastly under-represented in positions of power in our country. You often don't have a seat at the table in deciding the policies that affect your lives: economic policy, healthcare policy, environmental policy, public safety policy, education policy, racial justice, LGBTQ+ rights, and so on. None of these issues are standalone topics. We must recognize the ways they intersect in order to find real solutions to our problems.\nI recognize that as a man, I have unearned privileges in our society. If I have the pleasure of serving in Congress, that power needs to be leveraged for good. I pledge to listen to you, the women of our district, and amplify your voices on Capitol Hill. From my time on the campaign trail so far, here are the issues that you've told me are important, and what I plan to do about them. \n* Reproductive Justice: A woman's right to make all of her own healthcare decisions has been a constitutionally-protected one for over 40 years.  In addition to protecting a woman's right to choose and have control over her own body, I promise to fight for comprehensive reproductive health, access to birth control and preventive care, and to keep vital community healthcare providers such as Planned Parenthood open and well-funded so they can continue serving their communities. Read here about H.R. 771, the Equal Access to Abortion Coverage in Health Insurance Act. I would also work to repeal the Hyde Amendment, an initiative you can read about here.\n* Family Leave: It is past time for the United States to catch up to the rest of the industrialized world and institute mandatory paid family leave for all new parents. This is an economic injustice that unfairly disadvantages women and sets back family's entire financial futures, with low-wage earners being the most vulnerable. Read here about H.R. 947, the FAMILY Act.\n* Equal Pay: The gender-based wage gap, in addition to be fundamentally unjust, also disproportionately hurts working families. Women deserve to be valued for their contributions to their employers in equal measure to the men who work alongside them. We also need to pay attention not only to the women breaking ""glass ceilings"" but also those who are on ""sticky floors,"" by recognizing that women are over-represented in low-wage, low-advancement-opportunity work. In a country where low wages are much more common for single parents than for other U.S. workers., and where single parents are overwhelmingly women, remedying issues of pay disparity will create financial and social stability for generations to come. Read here about H.R. 1869, the Paycheck Fairness Act.\n* Ending Violence Against Women: Since the 2016 election season, a wave of women of our country have come forward to resist the admitted sexual predator and serial abuser and denigrator of women who holds the highest office in the land. Sexual misconduct, manipulation, abuse, domestic violence, and rape are inexcusable. For every high-profile case that makes headlines, there are far too many more that we never hear about. We have a responsibility to lift up the voices of those coming forward, and help them find justice, no matter what party affiliation or political ideology the perpetrators hold. Members of Congress must be held to the highest standard and not be complicit in covering up or normalizing this unacceptable behavior. Read here about H.R. 4396, the Me Too Congress Act.\nThese are just a few of the issues that I've heard when listening to your stories. I always want to know more about what's important to you. Let's keep the dialogue going.\n""If there is one message that echoes forth... let it be that human rights are women's rights and women's rights are human rights, once and for all.""\n-Hillary Rodham Clinton, United Nations Fourth World Conference on Women, 1995, Beijing, China\n",0,0,2
"316","Jacob, Peter","Peter Jacob NJ",0,NA,0,0,2
"317","Jois, Goutam","Goutam Jois NJ",0,"As a litigator, I’ve stood with victims of domestic violence and sexual assault. As a Member of Congress, I’ll continue to fight for women — not because doing so is a “women’s issue,” but because it is a family issue, an economic issue, and a moral issue.\n I will fight to fully fund Planned Parenthood, because access to reproductive health is critical, not just for women’s health, but for the economic well-being of working families.\nWomen deserve equal pay for equal work, because it’s the right thing to do. I support the Fair Pay Act of 2017, which is co-sponsored by Rep. Frank Pallone, and I would co-sponsor similar legislation in the next Congress.\nRecently, my wife Libby shared her #metoo stories on social media.Twenty years from now, I don’t want my six-year-old daughter or four-year-old son sharing the same stories. I support stronger enforcement of laws prohibiting sexual harassment, and I oppose secret settlements used to silence victims.",0,0,2
"318","Malinowski, Tom","Tom Malinowski NJ",0,"I have fought for human rights all my life, and I believe that affordable health care is a basic right of all Americans. Our economy also depends on people being able to move from one job to another, to start new businesses, and to return to school without having to worry about losing coverage for themselves and their families.\nInstead of working to improve access to health care, in his nine years in Congress Leonard Lance voted over 60 times to to strip people of their health care coverage. Defend the ACA mandate for contraceptive coverage and funding for women’s health, which upholds the dignity and equality of all Americans, and has contributed to a historic decline in teen birth rates.",0,0,2
"319","Heslin, Alison","Alison Heslin NJ",1,NA,0,1,2
"320","Cobert, Mitchell","Mitchell Cobert NJ",0,"The middle class is under attack. The days of one parent working and supporting the family are gone. We all hope that our children will be better off than we are, but is that a reality? I will work to enact laws that create jobs and provide incentives for new and existing businesses. WHAT I HAVE DONE In 1982, when my family moved to Morristown, the town was at a crossroads. There were empty stores and Headquarters Plaza was still an urban renewal project. I made the decision to become active in community and civic events. I was chair or co-chair of the earliest Fall Festivals in Morristown. That led the business owners to form a representative group that met, for an entire year, to discuss becoming a Special Improvement District (SID). The Town Council approved the application which allowed the Morristown Partnership, not the municipality, to allocate exactly how to spend their tax dollars. I was counsel to that group. WHAT I WILL DO The law and common decency compel equal pay for equal work. I will work to sponsor or co-sponsor non-discrimination legislation, pay equity, and transparency in the workplace.",0,1,2
"321","Harris, Tamara","Tamara Harris NJ",1,"I believe that a woman’s body is her sovereign space and she has a right to take care of herself and plan for her family. I am Pro Choice, but more importantly I am pro self-care and education for our teens as they begin to make life choices that can affect their physical and sexual health and their economic viability. I will work to ensure that women have access to healthcare that helps them secure a future.\nI will fight to ensure that Planned Parenthood is fully funded and continues to provide life saving services to working class women and families. I will also stand up and ensure that all women receive equal pay for equal work and continue to have equal access to academic, business, and employment opportunities.",0,1,2
"322","Sherrill, Mikie","Mikie Sherrill NJ",1,"I am pro-choice. A woman’s health decisions should be between her and her doctor. The federal government should have no say on when, how, and with whom women decide to start or grow a family. \nDonald Trump and Congressman Frelinghuysen see things differently. They are leading an all-out assault on women’s health care, working to restrict access to abortion and contraception. This is dangerous and wrong.\nIn New Jersey, we know first-hand the devastating impact of Governor Christie’s cuts to women’s health care. From 2009 to 2012 there was a 31 percent drop in clinical breast exams provided at Title X health centers and rates of STD infection increased 27 percent. We can’t allow President Trump and Congressman Frelinghuysen to jeopardize women’s health care.\nIn Congress, I will be a forceful voice against efforts to defund Planned Parenthood, restrict access to birth control, and limit a woman’s access to safe family planning services.",0,1,2
"323","Martinez, Damon","Damon Martinez NM",0,"“Women deserve the freedom, access, and resources to make whatever decisions are best for them and their families, without the interference of politicians or religious zealots.”\nWomen’s rights are one of the defining issues of our time, and they’ve been sidelined, ignored, or traded away too often. Women both need and deserve full autonomy over their bodies and lives, which is why it’s imperative that men join their voices and support efforts to expand and fund comprehensive reproductive health care and women’s equality.\t\t\t\t\nWomen deserve the freedom, access, and resources to make whatever decisions are best for them and their families, without the interference of politicians or religious zealots. In Congress, I’ll fight alongside women to support and champion equal pay, expand child care subsidies, increase access to justice for survivors of domestic violence and sexual assault, raise the minimum wage (which impacts women the most), pass paid family leave, and ensure access to affordable abortion and birth control. We must also end damaging parental consent laws and federal funding for crisis pregnancy centers.\t\t\t\t\nAs U.S. Attorney, I made combating sexual assault on college campuses and in tribal communities a top priority, and I’ll continue to hold perpetrators accountable and ensure support and resources are available to survivors.",0,1,2
"324","Davis, Patrick","Pat Davis NM",0,"As a city council candidate, I earned a 100% score from Planned Parenthood.  As a vocal supporter of full healthcare rights, I was a target of an anti-abortion group during the campaign.  They sent graphic fliers to voters calling out my pro-choice record.\nTogether we fought them and won and I’ll continue to support abortion rights for women.\nAs head of ProgressNowNM, we joined the campaign with allied organizations to defeat an extreme new anti-abortion ballot initiative in Albuquerque in 2013.  By putting women first and having honest conversations about hard issues, we all defeated that measure and ensured that women will have access to Planned Parenthood and abortion services in our community when they need them.\nBut that fight isn’t over.

Albuquerque’s fair pay ordinance can be a model for the country. In Congress, I’ll introduce legislation to require federal contractors to prove they pay women equally before they receive taxpayer-funded contracts.\nMy friend, City Councilor Diane Gibson, led the fight to implement Albuquerque’s Equal Pay Ordinance which incentivizes organizations who want to do business with the city to report what they pay women and men for the same jobs and to reduce their gender pay gaps to receive public contracts.\n",0,1,2
"325","Lopez, Antoinette","Antoinette Sedillo Lopez NM",1,"Antoinette has been a longtime advocate for women. From her time teaching on Women and the Law, to working to eliminate domestic violence in New Mexico as the head of Enlace Comunitario, she has been devoted to championing women’s and children’s rights throughout her career.\nAntoinette believes strongly that women need to be in control of their bodies and their own healthcare decisions.  These personal and private decisions are not the government’s business. She will fight to protect a woman’s right to health care services, including access to critical preventative care services like mammograms and ovarian cancer screenings, access to clean and safe abortion care, and access to contraceptives.  In addition to ensuring birth control coverage and access to safe abortion services, Antoinette will fight pregnancy discrimination that too often is forgotten as an essential part of reproductive freedom.\nAs the former head of an anti-domestic violence agency, ending violence and in particular violence against women is a deeply personal challenge that Antoinette will continue to fight for in Congress. As a trained lawyer and law professor, she will continue to draw on her experiences to expand federal funding for improved testing, better tracking of rape kits, and robust services for survivors. She’ll also work to eliminate the statute of limitations on sexual assault cases, and will use Congress’ oversight role to hold the Department of Justice accountable on these issues. Antoinette believes we need to build on the Violence Against Women Act’s (VAWA) successes and devote additional federal resources so that local law enforcement can adequately tackle the challenge of keeping survivors and families safe.\nAntoinette will also fight for paid family leave, closing the gender wage gap, child care affordability for working families, and co-sponsoring the FAMILY ACT, which would create a national insurance program offering families up to 12 weeks of leave.

I will fight for a higher minimum wage so that we can build a stronger economy that works for all of New Mexico’s communities. She’ll fight to combat income inequality and will champion legislation to raise the federal minimum wage to $15 per hour.\nAntoinette believes that all working New Mexicans deserve a living wage and that we should work to end the economic disparities that women and communities of color experience. With over 1 in 5 New Mexicans living below the poverty line and the growth of the working poor in our state, we need to invest in our workers so that no one who works a 40 hour work week lives in poverty or has a  to work and contribute.”",0,1,2
"326","Haaland, Debra","Deb Haaland NM",1,"I support a woman's right to choose when and how to have a child, full access to contraception and believe that everyone should have access to affordable healthcare -- which means we need to expand access to abortion care. Far too many rural women, poor women, and women of color simply do not have access to the healthcare they need to stay healthy. I believe that we need to protect access to care, not just choice about that care.Pay equality is essential to gender equality. I will support all efforts to close the national pay gap, with a special focus on closing the gap for black, latina, indigenous, and disabled women as well as genderqueer and transgender people -- all of whom deserve equal pay for equal work.Transgender Americans have the same rights as all Americans -- and I will fight to ensure my transgender neighbors have access to the same dignity, jobs, social services, and housing as we all do. This includes fighting the inhumane “bathroom bills” proposed by the GOP that restricts transgender kids and adults from accessing public spaces.Read my statement about protecting a woman's right to choose →",0,1,2
"327","Heitner, Jesse","Jesse Heitner NM",0,NA,0,1,2
"328","Moya, Paul","Paul Moya NM",0,"I will fight to ensure that workplace discrimination is not tolerated and take action to close wage gaps so that every citizen, regardless of race, gender, or background, can experience what was stated in a declaration more than two-hundred years ago “We hold these truths to be self-evident, that all men are created equal…that they are endowed by their Creator with certain inalienable rights, that among these are life, liberty and the pursuit of happiness.”",0,1,2
"329","Lara, Damian","Damian Lara NM",0,"I believe that women's rights are human rights.As the youngest of four children to a single mother, I understand the policies that can make a difference in people's lives. Through progressive policy change, my mother was able to start her own small business. I will fight for legislation that will:Advocate for and protect trans rights. Eliminate the Congressional ""hush"" slush-fund used to pay off victims of sexual assault and abuse by members of Congress and their staff;\n  Create an independent ethics committee to investigate allegations of sexual harassment by members of Congress;\n  Expand labor protections and central reporting of sexual harassment across all industries;\n  Address the problem of the criminal justice system extorting families for contact with their loved ones, which disproportionally impacts women of color;\n",0,1,2
"330","Small, Xochitl","Xochitl Torres Small NM",1,NA,0,1,2
"331","Hildebrandt, Madeline","Madeline Hildebrandt NM",1,NA,0,1,2
"332","Di Masi, Elaine","Elaine Dimasi NY",1,"Pre and post-natal care programs reduce infant mortality rates, especially for low-income mothers. So does a doctor for every family, clean air, clean water and clean food. \nWomen and their spouses/partners should have access to well-funded pre and post-natal care education to protect the health and well being of the mother and the baby. \nReproductive equality means women should have the right to determine what type of family makes the most sense to them. This includes the freedom to plan their own family.\nSenator Kamala Harris said it best:\n“We all know the truth: If you are a woman trying to raise a family, you know that a good-paying job is a woman’s issue.”\nFamily Freedom for women is a health issue, an economic issue and an equality issue and will only be achieved when women have the same rights to control their bodies as men.\n",0,0,2
"333","Viloria-Fisher, Vivian","Vivian Viloria Fisher NY",1,"""The only moral option is universal healthcare.""\n\nUniversally Affordable Healthcare\nHealthcare is a human right. I will ensure that healthcare is affordable for everyone. \nAs a County legislator, I addressed the rise in substance addiction by\nintervening in Long Island high school drug exchanges.\nServing on the board of Long Island Planned Parenthood I am resolute in standing up for woman's right to choose.\n\nI WILL:\n- Fight for Medicare for All (HR 676)\n- Establish affordable access to mental health services\n- Make school meals healthier without raising their cost\n- Expand affordable access to addiction treatments \n- Publicly fund preventative reproductive healthcare by protecting Medicaid and Planned Parenthood\n- Preserve women's reproductive rights by opposing the Hyde Amendment and protecting Roe v. Wade\n \n \nI HAVE:\n- Vice-Chairperson of the Health & Human Services Committee\n- Served as a Planned Parenthood board member\n- Required NYS insurance companies to reimburse or cover cervical cancer test\n- Sponsored creation of Food Policy Council, making healthy foods more accessible in Suffolk County\n- Protected Public Health Nurse program in Suffolk County\n- Declared Melanoma Awareness Month in May in Suffolk County to raise awareness for this preventable disease",0,0,2
"334","Gershon, Perry","Perry Gershon NY",0,"It is outrageous that instead of ensuring access to quality, affordable health care, Republicans in Congress – including Congressman Lee Zeldin – are spending their time repealing it, restricting it, and in some cases taking it away, altogether. In particular, they are trying to turn back the clock when it comes to women’s health care. The right to choose and personal medical decisions should be between a woman and her doctor. Politicians should not be involved. Period.\nWomen’s health care is under attack. We see it every day. It’s why I believe we must strengthen Planned Parenthood, which provides critical health care – like cancer screenings and preventative care -- to so many in need. And we must repeal outrageous legislative over-reach – like the Hyde amendment – which attempts to prevent abortions even in cases required to save the life of the mother. \nRather than protect and strengthen women’s health care, Congressman Zeldin has been doing the exact opposite, voting for restrictions on abortion that would take us back to the time before Roe v. Wade became the law of the land. Some Republicans in Congress have even sought to restrict access to birth control – which is critical to ensuring that abortions remain safe, legal, and rare. The decision in the 2014 Hobby Lobby case, which allowed employers to deny coverage for contraceptives turns back the clock on women’s health care, setting us down a dangerous path. Everyone should have equal access to reproductive health care, pre-natal care, and post-natal care – no matter who you are or where you live.",0,0,2
"335","Browning, Kate","Kate Browning NY",1,"Decisions about your health should be made by you and your doctor, not corporate executives or politicians. I am 100% pro-choice and will never compromise on women’s health. We need to reduce the barriers and fear tactics that are currently being employed by Republicans in Congress and increase health education.\nWe must stand up and fight back against attacks on Planned Parenthood - the nation’s leading providers of high-quality, affordable health care for women, men and young people, and the nation’s largest provider of sex education. Defunding Planned Parenthood disproportionately affects people with low incomes, people of color and our LGBT communities. #IStandWithPP\nI stood with Governor Cuomo as he announced the Nation’s Strongest Paid Family Leave Policy. No family should have to choose between caring for their loved ones and risking their economic security. This was a great step but we need to expand this program nationally.",0,0,2
"336","Pechefsky, David","David Pechefsky NY",0,"Women’s health care shouldn’t be a political football. Women should be able to make choices about their health including abortion, which should be safe, legal, and rare...which requires both access to birth control and sex education.  \n",0,0,2
